"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
It is really interesting how people like knowing famous people life .,It is really interesting how people like to know about famous people 's lives .
"Without someone famous know , photographs take pictures secretly , try to get money on it .","Without someone famous knowing , photographers take pictures secretly , and try to get money for them ."
"Sometimes being famous can get stress , everywhere they go there are people around them , especially journalists , trying to ask millions questions .","Sometimes being famous can get stressful , because everywhere they go there are people around them , especially journalists , trying to ask millions of questions ."
"Famous people deserve to have freedom to do whatever they want , but it is quite difficult to do thing in a public places , because nobody like famous politicians or film stars without asking questions .","Famous people deserve to have freedom to do whatever they want , but it is quite difficult to do things in public places , because nobody likes seeing famous politicians or film stars without asking questions ."
"On the whole , to be rich and famous do n't always bring happeness , whereas the majority of the population wish they were rich and famous .","On the whole , being rich and famous does n't always bring happiness , whereas the majority of the population wish they were rich and famous ."
"I am writing to complain about the musical show "" Over the rainbow "" which was performed in your theatre two weeks ago .","I am writing to complain about the musical show "" Over the rainbow "" , which was performed in your theatre two weeks ago ."
First of all that evening there was not Danny Brook but an unknown and not very good actor .,"First of all , Danny Brook was not there that evening but an unknown and not very good actor ."
Then at the tickets - office I was said that no discounts were available so I had to pay the full prize despite I am a student .,Then at the ticket office I was told that no discounts were available so I had to pay the full price despite the fact that I am a student .
"Finally I would have had dinner at the theatre restaurant if it had not been already closed because the show finished , obviously , late .","Finally I would have had dinner at the theatre restaurant if it had not already been closed because the show finished , obviously , late ."
I am really not satisfied with the show - organization particularly because in the advertisement you wrote something different .,I am really not satisfied with the organisation of the show particularly because in the advertisement you wrote something false .
"Unfortunately , Pat was n't good at keeping secret .","Unfortunately , Pat was n't good at keeping secrets ."
Last week we had another demostration of this .,Last week we had another demonstration of this .
On Monday we decided to organize a surprise - party for Ted 's birthday on Tuesday evening .,On Monday we decided to organize a surprise party for Ted 's birthday on Tuesday evening .
"Anna prepared the cake , Peter organized the music , Heather and I went to buy the present ; Pat said : "" OK I 'll phone to some of Ted 's friends to invite them "" .","Anna made the cake , Peter organized the music , Heather and I went to buy the present ; Pat said : "" OK , I 'll phone some of Ted 's friends to invite them "" ."
"Obviously Ted should have known nothing about it and we remembered it to Pat twice : "" the party is a secret ! ! "" and she said : "" Yes , it must be a surprise ! ""","Obviously Ted should not have known anything about it and we reminded Pat of that twice : "" The party is a secret ! ! "" and she said : "" Yes , it must be a surprise ! """
"On Tuesday afternoon we met to prepare the last details ; Pat said : "" I 've just phoned to Tommy , Billy and Alison and I met Ted yesterday evening : they all have said ok for the party .. ""","On Tuesday afternoon we met to arrange the last details ; Pat said : "" I 've just phoned Tommy , Billy and Alison and I met Ted yesterday evening : they all have said OK for the party .. """
In that moment she understood that something was wrong !,At that moment she understood that something was wrong !
"Thank you for organising good programme , especially like sightseeing from River trip to Greenwich in London for three days .","Thank you for organising a good programme , we especially like sightseeing from River trip to Greenwich in London for three days ."
I am writing on behalf of my classmates to give the information of ' The London Fashion And Leisure Show ' which we would like to go and to huggest our opinion .,I am writing on behalf of my classmates to give you the information about ' The London Fashion And Leisure Show ' which we would like to go to and to offer our opinion .
We have seen an advertisement of last Saturday ' The Times ' edition of the show .,We have seen an advertisement in last Saturday 's ' The Times ' edition of the show .
"It will be held in Central Exhibition Hall , London or Tuesday March 14 from 10.00 to 19.00 .","It will be held in Central Exhibition Hall , London on Tuesday March 14 from 10.00 to 19.00 ."
"Firstly , it will introduce latest fashions connecting Millenium .","Firstly , it will introduce the latest fashions connecting Millennium ."
"Secondly , we will be able to see leisure and sports wear about fashion trend of next year .","Secondly , we will be able to see leisure and sportswear about fashion trend of next year ."
It would be fantastic opportunity to the students who study a fashion .,It would be a fantastic opportunity for the students who study fashion .
"Finally , we can see how to make up and make better hairstyle in the show .","Finally , we can see how to do make - up and create better hairstyles in the show ."
"Most of all , It is free for students to enter .","Most of all , it is free for students to enter ."
"Whenever I recollet it , I feel self - confident .","Whenever I recollect it , I feel self - confident ."
"When I was twenty years old , I had to go to Army .","When I was twenty years old , I had to go into the Army ."
"However , instead of going to Army , I was able to apply to Korea Auxiliary Police .","However , instead of going into the Army , I was able to apply to join the Korea Auxiliary Police ."
"Suddenly , the theft signal came into .","Suddenly , the burglar alarm came on ."
"When we arrived at the place which it happened , one man started running away .","When we arrived at the place where it happened , one man started running away ."
"When I said to my mother , she asked me not to do it again .","When I told my mother , she asked me not to do it again ."
"But , I was a police - man .","But , I was a policeman ."
I am writing to replay your letter and to ask more details about the competition .,I am writing to reply to your letter and to ask for more details about the competition .
"Firstly , I would like to say that I 'm very glad to have been choosen and I will do my best for this competition .","Firstly , I would like to say that I 'm very glad to have been chosen and I will do my best for this competition ."
"As you asked in the letter , I would like to travel only on july because I work at the central library and I 'm also having English classes , so I will just have holidays on July .","As you asked in the letter , I would like to travel only in July because I work at the central library and I 'm also having English classes , so I will just have holidays in July ."
Is it suitable for you ?,Is that suitable for you ?
"As you mentioned about the accomodation , I would prefer stay in the tents , because it 's more exciting and I really love camping .","As you mentioned about the accommodation , I would prefer to stay in a tent , because it 's more exciting and I really love camping ."
I examined all the activities that you listed and I was disappointed to have to chose just two of them because in my opinion I 'm good in almost of this activities .,I examined all the activities that you listed and I was disappointed to have to choose just two of them because in my opinion I 'm good at almost all of these activities .
"However , I would choose sailing because I am facinating with the sea and it 's misteries and I also like the watter , the wind in my face ...","However , I would choose sailing because I am fascinated with the sea and its mysteries and I also like the water , the wind in my face ..."
The other one I would choose is basketball becouse I 'm tall and very fast with the ball .,The other one I would choose is basketball because I 'm tall and very fast with the ball .
